,id,groups,age,healthy_eating,active_lifestyle,salary
929,929,A,26,7,8,2764
930,930,A,58,4,6,1484
931,931,O,39,6,5,2878
932,932,O,25,6,6,2646
933,933,O,59,7,4,3691
934,934,AB,24,8,8,3345
935,935,B,48,6,7,2414
936,936,A,49,4,7,1252
937,937,A,25,7,6,3228
938,938,A,26,2,4,785
939,939,O,54,6,7,2414
940,940,O,24,6,7,2414
941,941,O,54,7,4,3691
942,942,AB,41,6,3,3342
943,943,B,54,3,8,662
944,944,A,46,2,8,1243
945,945,A,56,5,7,1833
946,946,A,18,2,6,779
947,947,O,26,10,4,5435
948,948,O,31,6,5,2878
949,949,O,55,4,6,1484
950,950,AB,45,4,9,788
951,951,B,59,7,7,2996
952,952,A,36,4,5,1716
953,953,A,19,10,8,4508
954,954,A,60,8,6,3809
955,955,O,31,5,7,1833
956,956,O,23,6,2,3574
957,957,O,39,5,4,2529
958,958,AB,55,2,7,1011
959,959,B,29,6,0,4038
960,960,A,57,2,6,779
961,961,A,38,3,3,1598
962,962,A,46,7,5,3460
963,963,O,54,4,3,2179
964,964,O,61,5,6,2065
965,965,O,43,7,8,2764
966,966,AB,32,8,5,4041
967,967,B,62,4,7,1252
968,968,A,39,4,6,1484
969,969,A,45,4,7,1252
970,970,A,36,4,8,1020
971,971,O,33,2,8,1243
972,972,O,56,6,3,3342
973,973,O,47,3,6,902
974,974,AB,64,10,5,5204
975,975,B,43,4,6,1484
976,976,A,20,6,4,3110
977,977,A,59,2,6,779
978,978,A,61,3,6,902
979,979,O,18,7,8,2764
980,980,O,58,5,5,2297
981,981,O,31,5,9,1369
982,982,AB,50,9,5,4622
983,983,B,29,5,6,2065
984,984,A,32,3,9,894
985,985,A,52,4,3,2179
986,986,A,27,6,7,2414
987,987,O,50,5,5,2297
988,988,O,60,4,6,1484
989,989,O,44,3,5,1134
990,990,AB,20,3,4,1366
991,991,B,38,8,6,3809
992,992,A,30,6,3,3342
993,993,A,56,5,5,2297
994,994,A,52,5,7,1833
995,995,O,33,7,7,2996
996,996,O,21,1,2,667
997,997,O,49,9,7,4158
998,998,AB,56,6,7,2414
999,999,B,64,4,9,788
